run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
5,0,x[4],False,,,0d8a8dd8e2b2af92f648b1ccf1570c96,0.7625,False,0.0
5,0,x[4],True,x[4],0.7625,0d8a8dd8e2b2af92f648b1ccf1570c96,0.7625,False,0.0
5,0,x[1],False,,,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,x[1],True,x[1],0.275,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,"and_(x[4],x[1])",True,x[4],0.7625,0d8a8dd8e2b2af92f648b1ccf1570c96,0.7625,False,0.0
5,0,"less_than_or_equal(x[2],x[0])",False,,,052c076a05525fba3c856a7a96e1ef18,0.375,False,0.0
5,0,"not_(or_(x[4],x[4]))",False,,,695344572068d982db32703f7e35555a,0.23750000000000004,False,0.0
5,0,"greater_than_or_equal(x[2], x[0])",False,,,9e469e34d00b178ffba3de6050777be0,0.625,False,0.0
5,0,"greater_than_or_equal(x[3], x[5])",False,,,7873976a05dcf81a80603f163d5aa219,0.22499999999999998,False,0.0
5,0,"less_than_or_equal(x[3],x[0])",False,,,15bf50837d6b596aead4646cbe5aa5db,0.4125,False,0.0
5,0,x[1],True,x[1],0.275,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,"less_than_or_equal(x[0],x[0])",False,,,1caf82d55dfeb27ba7b59538fffecb65,0.25,False,0.0
5,0,"greater_than_or_equal(x[5], x[3])",False,,,6f9486420a623fa0e574dc6cb57384d1,0.4375,False,0.0
5,0,"greater_than_or_equal(x[0], x[3])",True,"less_than_or_equal(x[3],x[0])",0.4125,15bf50837d6b596aead4646cbe5aa5db,0.4125,False,0.0
5,0,"greater_than_or_equal(x[0], x[0])",True,"less_than_or_equal(x[0],x[0])",0.25,1caf82d55dfeb27ba7b59538fffecb65,0.25,False,0.0
5,0,x[4],True,x[4],0.7625,0d8a8dd8e2b2af92f648b1ccf1570c96,0.7625,False,0.0
5,0,"less_than_or_equal(x[0],x[5])",False,,,5a9069f8d956a6a094353edde41274ee,0.775,False,0.0
5,0,"less_than_or_equal(x[3],x[5])",True,"greater_than_or_equal(x[5], x[3])",0.4375,6f9486420a623fa0e574dc6cb57384d1,0.4375,False,0.0
5,0,x[1],True,x[1],0.275,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,"less_than_or_equal(sub(x[5],x[3]),pdiv(x[3],x[2]))",True,"less_than_or_equal(x[0],x[0])",0.25,1caf82d55dfeb27ba7b59538fffecb65,0.30000000000000004,True,0.050000000000000044
5,0,"less_than_or_equal(mul(x[2],x[2]),pdiv(x[2],x[3]))",True,"less_than_or_equal(x[0],x[0])",0.25,1caf82d55dfeb27ba7b59538fffecb65,0.25,False,0.0
5,0,x[1],True,x[1],0.275,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,"less_than_or_equal(add(x[0],x[5]),add(x[2],x[0]))",False,,,02bdf232f7936601c5b2f87fab5e3f2a,0.19999999999999996,False,0.0
5,0,"greater_than_or_equal(mul(x[3],x[5]), sub(x[0],x[5]))",True,"less_than_or_equal(x[0],x[5])",0.775,5a9069f8d956a6a094353edde41274ee,0.775,False,0.0
5,0,x[4],True,x[4],0.7625,0d8a8dd8e2b2af92f648b1ccf1570c96,0.7625,False,0.0
5,0,"less_than_or_equal(x[0],pdiv(x[0],x[2]))",True,"less_than_or_equal(x[0],x[0])",0.25,1caf82d55dfeb27ba7b59538fffecb65,0.25,False,0.0
5,0,"less_than_or_equal(add(x[2],x[5]),mul(x[2],x[3]))",False,,,38310e021dbb5591b8a6f7832fd14d31,0.65,False,0.0
5,0,"greater_than_or_equal(pdiv(x[3],x[2]), x[2])",False,,,2c6fb0326aafbe13cffdc9a8a9a16c80,0.725,False,0.0
5,0,"not_(less_than_or_equal(x[2],x[5]))",False,,,023545f511dbe492442447b2cec37ada,0.0625,False,0.0
5,0,"and_(x[1],less_than_or_equal(x[3],x[5]))",True,"greater_than_or_equal(x[5], x[3])",0.4375,6f9486420a623fa0e574dc6cb57384d1,0.4625,True,0.025000000000000022
5,0,x[1],True,x[1],0.275,2be4a9db9678fd90a72074c02ae16fae,0.275,False,0.0
5,0,"greater_than_or_equal(mul(mul(x[3],x[3]),pdiv(x[2],x[5])), sub(mul(x[0],x[0]),x[0]))",True,"less_than_or_equal(x[0],x[0])",0.25,1caf82d55dfeb27ba7b59538fffecb65,0.25,False,0.0
5,0,"greater_than_or_equal(mul(sub(x[3],x[3]),mul(x[3],x[2])), mul(sub(x[3],x[0]),50.21))",True,"less_than_or_equal(x[3],x[0])",0.4125,15bf50837d6b596aead4646cbe5aa5db,0.4125,False,0.0
5,0,"greater_than_or_equal(sub(pdiv(x[0],x[3]),pdiv(x[0],x[3])), 87.79)",False,,,010a47bb2fd40bf75dc512f50c463082,0.75,False,0.0
