run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
9,0,x[4],False,,,4c0dd29e741377fcce1085f49d07ba67,0.725,False,0.0
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,x[1],False,,,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,0.2875,False,0.0
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,"greater_than_or_equal(x[2], x[0])",False,,,ee1499851222359d2bd6859e6cfa45be,0.6,False,0.0
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,"less_than_or_equal(x[3],x[5])",False,,,929a1f022d50c43dae281fe51d0c28e3,0.4625,False,0.0
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,"greater_than_or_equal(mul(x[2],x[0]), x[0])",False,,,6cc907936fccb3fb0df3d258c6572b12,0.6875,False,0.0
9,0,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",False,,,a1279af5c39f37da6e961045f16613c9,0.2875,False,0.0
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,not_(not_(not_(x[4]))),False,,,17212da05b24ca894ea1a3f2ee1de7a2,0.275,False,0.0
9,0,"less_than_or_equal(add(x[5],x[2]),76.52)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,0,"greater_than_or_equal(add(x[3],x[5]), pdiv(x[5],x[3]))",False,,,2c74f22c7a9c1d1c1aeb83109c010856,0.55,False,0.0
9,0,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,0,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,0,"or_(greater_than_or_equal(97.57, pdiv(x[5],x[5])),not_(greater_than_or_equal(x[5], x[0])))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,0,"not_(less_than_or_equal(x[5],x[2]))",False,,,f6eac82c1c02ca62726469b8fa2a795a,0.7625,False,0.0
9,0,"not_(greater_than_or_equal(pdiv(x[5],x[3]), mul(x[0],x[5])))",False,,,9cefef69f8e1e120cb11b9ae1af889f7,0.7,False,0.0
9,0,"greater_than_or_equal(pdiv(add(x[0],x[2]),x[0]), x[5])",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,0,"less_than_or_equal(sub(sub(x[3],x[0]),add(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",False,,,6aa77a8bc8f9a0281575e5dba1e8d499,0.5375,False,0.0
9,0,"not_(less_than_or_equal(mul(x[3],x[2]),mul(x[0],x[5])))",False,,,4cee0fd35820865b0996d0285e9be312,0.44999999999999996,False,0.0
9,0,"not_(not_(greater_than_or_equal(x[5], x[2])))",False,,,f9d1efe383b69c2cbd74e0dfd92d8bb2,0.925,False,0.0
9,0,"not_(not_(less_than_or_equal(x[2],x[3])))",False,,,a27f9863c65fe911421a378bb7e92317,0.7125,False,0.0
9,0,"and_(not_(less_than_or_equal(x[5],x[3])),not_(or_(and_(x[1],x[1]),not_(x[1]))))",True,"greater_than_or_equal(mul(x[2],x[0]), x[0])",0.6875,6cc907936fccb3fb0df3d258c6572b12,,,
9,0,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",False,,,52b40de75a0769a068ae4dbc5ef5e570,0.125,False,0.0
9,0,"not_(greater_than_or_equal(add(x[5],x[3]), add(x[2],x[0])))",False,,,51f40393ad2c2a1d0fec65e0fdeb9ddd,0.42500000000000004,False,0.0
9,0,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",False,,,2413ebdef6d78cf6e2c26074d8bae1b5,0.012499999999999956,False,0.0
9,0,"not_(and_(greater_than_or_equal(x[5], x[0]),greater_than_or_equal(x[5], x[3])))",False,,,34fba9d753a12433f9c4d872e493d064,0.2875,False,0.0
9,0,"not_(not_(less_than_or_equal(x[2],x[5])))",True,"not_(not_(greater_than_or_equal(x[5], x[2])))",0.925,f9d1efe383b69c2cbd74e0dfd92d8bb2,,,
9,0,"less_than_or_equal(pdiv(pdiv(x[0],x[2]),pdiv(x[0],x[3])),add(pdiv(x[3],x[3]),pdiv(x[5],x[0])))",False,,,150cd630bd91e1367d5854c31b01d8e4,0.7875,False,0.0
9,0,"greater_than_or_equal(sub(mul(x[5],x[0]),add(x[5],x[3])), mul(sub(x[2],x[2]),sub(x[0],x[5])))",False,,,71766c7885191e2102068927bb1f4f9e,0.4375,False,0.0
9,0,"not_(less_than_or_equal(add(x[2],x[5]),pdiv(x[0],x[3])))",False,,,b38741637eaff5fe40cfa7c9e4f36419,0.675,False,0.0
9,0,"not_(less_than_or_equal(add(x[0],x[2]),mul(x[3],x[2])))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,0,"not_(less_than_or_equal(add(x[0],x[0]),sub(x[5],x[0])))",False,,,3eafd98e062fa0f2d64aac16d5913f65,0.2875,False,0.0
9,0,"not_(greater_than_or_equal(pdiv(x[0],x[3]), pdiv(x[0],x[0])))",False,,,3480005a67847c795a5eb17a9cd7d43a,0.5625,False,0.0
9,0,"greater_than_or_equal(add(sub(x[2],x[2]),sub(x[5],x[0])), sub(add(x[5],x[0]),pdiv(x[3],x[5])))",False,,,6978f3566e0e93e509db192c65ce8295,0.3125,False,0.0
9,0,"not_(less_than_or_equal(add(x[3],x[5]),pdiv(x[3],x[0])))",False,,,cc12aab6dc6aeaa51107d3a7c230252b,0.7125,False,0.0
9,0,"greater_than_or_equal(add(pdiv(x[5],x[3]),sub(x[2],x[2])), pdiv(mul(x[3],x[2]),add(x[5],x[2])))",False,,,b8fe24a4bb7265995c4a5676e71464b2,0.48750000000000004,False,0.0
9,0,"not_(greater_than_or_equal(sub(x[2],x[0]), pdiv(x[0],x[2])))",False,,,1d30ac93178c702ac97a366c0132b226,0.32499999999999996,False,0.0
9,0,"not_(less_than_or_equal(mul(x[0],x[3]),mul(x[2],x[0])))",True,"greater_than_or_equal(add(x[3],x[5]), pdiv(x[5],x[3]))",0.55,2c74f22c7a9c1d1c1aeb83109c010856,,,
9,0,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],x[2])),mul(mul(x[3],x[2]),mul(x[0],x[5])))",False,,,ae439f5e77fc22fc83b41e940e196a26,0.11250000000000004,False,0.0
9,0,"greater_than_or_equal(pdiv(mul(x[0],x[3]),mul(x[3],x[2])), sub(add(x[0],x[5]),add(x[3],x[2])))",False,,,cd7cf9dbd84a3ecfe2da0e0c3293d446,0.275,False,0.0
9,0,"not_(and_(greater_than_or_equal(x[3], x[5]),greater_than_or_equal(x[0], x[2])))",False,,,11241c106e003dc9993343398dfc87d8,0.6125,False,0.0
9,0,"not_(not_(less_than_or_equal(x[5],x[2])))",False,,,eb504ef415c9a0bddcd3e442798e0311,0.23750000000000004,False,0.0
9,1,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],x[2])),sub(mul(x[5],x[3]),x[5]))",True,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],x[2])),mul(mul(x[3],x[2]),mul(x[0],x[5])))",0.11250000000000004,ae439f5e77fc22fc83b41e940e196a26,,,
9,1,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",True,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",0.012499999999999956,2413ebdef6d78cf6e2c26074d8bae1b5,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(add(x[5],x[2]),76.57)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"greater_than_or_equal(x[0], x[2])",False,,,b2dd613716b452a1e791e9e108d1a94b,0.4,False,0.0
9,1,"less_than_or_equal(pdiv(sub(x[3],x[0]),add(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",False,,,ef3bb6a012c1d64eee2b2038edf7c625,0.4375,False,0.0
9,1,"less_than_or_equal(sub(sub(x[3],x[0]),mul(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",True,"less_than_or_equal(sub(sub(x[3],x[0]),add(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",0.5375,6aa77a8bc8f9a0281575e5dba1e8d499,,,
9,1,"less_than_or_equal(pdiv(add(x[5],x[0]),mul(x[0],x[2])),mul(mul(x[3],x[2]),mul(x[5],x[5])))",True,"greater_than_or_equal(mul(x[2],x[0]), x[0])",0.6875,6cc907936fccb3fb0df3d258c6572b12,,,
9,1,"greater_than_or_equal(pdiv(mul(x[0],x[3]),mul(x[3],x[2])), sub(add(x[0],x[5]),add(x[3],sub(pdiv(x[2],x[0]),sub(x[2],x[5])))))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"less_than_or_equal(add(x[5],x[2]),08.52)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"greater_than_or_equal(x[0], x[5])",False,,,52b4a53ea2ee849c36b5b6588914bff1,0.26249999999999996,False,0.0
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"greater_than_or_equal(sub(mul(x[5],x[0]),add(x[5],x[3])), mul(sub(x[2],x[2]),sub(x[0],x[5])))",True,"greater_than_or_equal(sub(mul(x[5],x[0]),add(x[5],x[3])), mul(sub(x[2],x[2]),sub(x[0],x[5])))",0.4375,71766c7885191e2102068927bb1f4f9e,,,
9,1,"not_(less_than_or_equal(x[3],x[3]))",True,"greater_than_or_equal(mul(x[2],x[0]), x[0])",0.6875,6cc907936fccb3fb0df3d258c6572b12,,,
9,1,"not_(greater_than_or_equal(x[3], x[3]))",True,"greater_than_or_equal(mul(x[2],x[0]), x[0])",0.6875,6cc907936fccb3fb0df3d258c6572b12,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(pdiv(x[0],x[2]),x[3])))",False,,,7f90c78f6a4ca3fcccebfe80d668f77b,0.55,False,0.0
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"not_(less_than_or_equal(add(x[0],x[0]),sub(x[5],x[0])))",True,"not_(less_than_or_equal(add(x[0],x[0]),sub(x[5],x[0])))",0.2875,3eafd98e062fa0f2d64aac16d5913f65,,,
9,1,"less_than_or_equal(pdiv(mul(x[5],x[0]),pdiv(x[0],x[2])),mul(mul(x[3],x[2]),mul(x[3],x[5])))",False,,,1eef8b02d44d971e82dc79cc1039d7da,0.25,False,0.0
9,1,"less_than_or_equal(mul(x[2],x[5]),x[2])",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"not_(less_than_or_equal(add(x[0],x[2]),mul(x[3],x[2])))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[2]))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"greater_than_or_equal(add(sub(x[2],x[2]),sub(x[5],x[3])), sub(add(x[5],x[0]),pdiv(x[3],x[5])))",False,,,f249abc19ada784b423f07c77aee496b,0.4375,False,0.0
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,1,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[5]))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"not_(less_than_or_equal(add(x[0],x[2]),mul(x[3],x[5])))",True,"greater_than_or_equal(x[0], x[5])",0.26249999999999996,52b4a53ea2ee849c36b5b6588914bff1,,,
9,1,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[5])))",True,"not_(less_than_or_equal(x[5],x[2]))",0.7625,f6eac82c1c02ca62726469b8fa2a795a,,,
9,1,"less_than_or_equal(add(x[5],x[2]),74.24)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],add(x[5],x[0]))),add(mul(x[5],x[3]),x[5]))",False,,,063129ef744c1f70d4b2f15e7401d87f,0.3125,False,0.0
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"greater_than_or_equal(x[2], x[0])",True,"greater_than_or_equal(x[2], x[0])",0.6,ee1499851222359d2bd6859e6cfa45be,,,
9,1,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[0],x[5])))",False,,,acabbee895bfd42a6558f84598330d9f,0.4625,False,0.0
9,1,"not_(less_than_or_equal(mul(x[5],pdiv(x[3],x[0])),x[3]))",False,,,07e6028e7407dad36613f9e06b57d4dc,0.7375,False,0.0
9,1,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],mul(x[5],x[0]))))",True,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",0.125,52b40de75a0769a068ae4dbc5ef5e570,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"not_(greater_than_or_equal(add(x[5],x[3]), add(x[2],x[0])))",True,"not_(greater_than_or_equal(add(x[5],x[3]), add(x[2],x[0])))",0.42500000000000004,51f40393ad2c2a1d0fec65e0fdeb9ddd,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"not_(less_than_or_equal(add(x[0],x[0]),sub(x[3],x[0])))",False,,,075c857f53778029aea5fa34ea0bb364,0.3375,False,0.0
9,1,"not_(greater_than_or_equal(mul(x[3],x[5]), add(x[5],x[0])))",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(sub(sub(x[3],x[0]),add(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",True,"less_than_or_equal(sub(sub(x[3],x[0]),add(x[5],x[2])),pdiv(mul(x[5],x[2]),pdiv(x[2],x[3])))",0.5375,6aa77a8bc8f9a0281575e5dba1e8d499,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],add(x[0],x[5]))),add(x[3],x[2]))",False,,,5436e1ed7297f1f72c5ca8b22dffff6c,0.2875,False,0.0
9,1,"not_(not_(less_than_or_equal(x[5],x[2])))",True,"not_(not_(less_than_or_equal(x[5],x[2])))",0.23750000000000004,eb504ef415c9a0bddcd3e442798e0311,,,
9,1,"less_than_or_equal(add(x[5],x[2]),76.52)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",True,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",0.125,52b40de75a0769a068ae4dbc5ef5e570,,,
9,1,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",True,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",0.012499999999999956,2413ebdef6d78cf6e2c26074d8bae1b5,,,
9,1,"less_than_or_equal(add(x[5],x[2]),73.89)",True,"less_than_or_equal(mul(x[2],x[5]),mul(x[5],x[0]))",0.2875,a1279af5c39f37da6e961045f16613c9,,,
9,1,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",True,"not_(greater_than_or_equal(mul(x[3],x[3]), add(x[3],x[2])))",0.012499999999999956,2413ebdef6d78cf6e2c26074d8bae1b5,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,x[4],True,x[4],0.725,4c0dd29e741377fcce1085f49d07ba67,,,
9,1,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",True,"not_(less_than_or_equal(pdiv(x[2],x[0]),sub(x[2],x[5])))",0.125,52b40de75a0769a068ae4dbc5ef5e570,,,
9,1,x[1],True,x[1],0.2875,2a1bd3f7d1eb3f8416e9d6f4dcd2cc45,,,
9,1,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],x[2])),mul(mul(x[0],mul(x[3],x[2])),mul(x[0],x[5])))",True,"less_than_or_equal(pdiv(mul(x[5],x[0]),mul(x[0],x[2])),mul(mul(x[3],x[2]),mul(x[0],x[5])))",0.11250000000000004,ae439f5e77fc22fc83b41e940e196a26,,,
