run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
6,0,x[1],False,,,5676c676faaaa034b902d788efb90c31,0.51875,False,0.0
6,0,x[6],False,,,66bbf7d01ec6cb4699d766787daefe29,0.5125,False,0.0
6,0,x[1],True,x[1],0.51875,5676c676faaaa034b902d788efb90c31,,,
6,0,x[4],False,,,519eba5ead3762498675dbb0e4edd25d,0.5125,False,0.0
6,0,not_(x[4]),False,,,ff4b30bb63db3a2d4bfb57f8820486e0,0.48750000000000004,False,0.0
6,0,"or_(x[6],x[6])",False,,,4f2e8137afcaa8db8ae5c9be8d1f86ca,0.5125,False,0.0
6,0,"and_(x[6],x[4])",True,"or_(x[6],x[6])",0.5125,4f2e8137afcaa8db8ae5c9be8d1f86ca,,,
6,0,x[6],True,x[6],0.5125,66bbf7d01ec6cb4699d766787daefe29,,,
6,0,not_(x[1]),True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,not_(x[1]),True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,"greater_than_or_equal(x[0], x[0])",False,,,5d2eb7fde0ffd782b1f051fff6828cb5,0.51875,False,0.0
6,0,"greater_than_or_equal(x[2], x[3])",False,,,9144c718709a5983769a2917f47c90e2,0.35624999999999996,False,0.0
6,0,"greater_than_or_equal(x[0], x[2])",False,,,2ad538351af3f8cb753ccbc53c72fab9,0.5125,False,0.0
6,0,x[6],True,x[6],0.5125,66bbf7d01ec6cb4699d766787daefe29,,,
6,0,not_(x[6]),True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,"or_(x[4],x[4])",True,"or_(x[6],x[6])",0.5125,4f2e8137afcaa8db8ae5c9be8d1f86ca,,,
6,0,"greater_than_or_equal(x[5], x[3])",False,,,9ad26db51ee05865d604d4bcf1dd9fdb,0.5875,False,0.0
6,0,"greater_than_or_equal(mul(x[0],x[3]), pdiv(x[0],x[3]))",False,,,54c823476b2ee4342c54e94ddfbefa54,0.48750000000000004,False,0.0
6,0,x[6],True,x[6],0.5125,66bbf7d01ec6cb4699d766787daefe29,,,
6,0,x[1],True,x[1],0.51875,5676c676faaaa034b902d788efb90c31,,,
6,0,"less_than_or_equal(x[3],add(x[0],x[0]))",True,"greater_than_or_equal(x[0], x[2])",0.5125,2ad538351af3f8cb753ccbc53c72fab9,,,
6,0,"not_(less_than_or_equal(x[3],x[2]))",False,,,a523bf380a2121f35f10107a5378aa8c,0.64375,False,0.0
6,0,"greater_than_or_equal(x[5], mul(x[2],x[0]))",False,,,3d47ebc57f83f19a7b54e0a0e53b4bee,0.7375,False,0.0
6,0,x[6],True,x[6],0.5125,66bbf7d01ec6cb4699d766787daefe29,,,
6,0,not_(x[4]),True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,not_(x[1]),True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,"less_than_or_equal(x[0],38.92)",True,"greater_than_or_equal(x[0], x[0])",0.51875,5d2eb7fde0ffd782b1f051fff6828cb5,,,
6,0,"greater_than_or_equal(add(pdiv(x[0],x[0]),sub(x[0],x[2])), mul(sub(x[0],x[0]),mul(x[2],x[3])))",True,"greater_than_or_equal(x[0], x[0])",0.51875,5d2eb7fde0ffd782b1f051fff6828cb5,,,
6,0,x[1],True,x[1],0.51875,5676c676faaaa034b902d788efb90c31,,,
6,0,"not_(less_than_or_equal(x[2],sub(x[5],x[0])))",False,,,e015e8ee8316adb462d45061c7521ceb,0.28125,False,0.0
6,0,x[6],True,x[6],0.5125,66bbf7d01ec6cb4699d766787daefe29,,,
6,0,"not_(less_than_or_equal(pdiv(x[0],x[0]),pdiv(x[2],x[5])))",False,,,a45a51080a5bdb90be91a9055cf46092,0.95625,False,0.0
6,0,"greater_than_or_equal(add(pdiv(x[2],x[0]),add(x[2],x[5])), 79.08)",False,,,dc5bbde14982646f6ac52e80e90c8dd6,0.48124999999999996,False,0.0
6,0,"not_(greater_than_or_equal(add(x[3],x[2]), pdiv(x[3],x[5])))",False,,,c0c7b035d4edaacbbfb60228f9ff7151,0.5625,False,0.0
6,0,"less_than_or_equal(mul(sub(x[3],x[2]),mul(x[5],x[3])),add(pdiv(x[0],x[0]),pdiv(x[3],x[5])))",True,"greater_than_or_equal(x[0], x[0])",0.51875,5d2eb7fde0ffd782b1f051fff6828cb5,,,
6,0,"not_(not_(less_than_or_equal(x[3],x[5])))",True,"greater_than_or_equal(x[5], x[3])",0.5875,9ad26db51ee05865d604d4bcf1dd9fdb,,,
6,0,"or_(less_than_or_equal(sub(x[2],x[0]),mul(x[0],x[3])),not_(greater_than_or_equal(x[0], x[2])))",True,"greater_than_or_equal(x[0], x[0])",0.51875,5d2eb7fde0ffd782b1f051fff6828cb5,,,
6,0,"greater_than_or_equal(mul(sub(x[3],x[5]),add(x[3],x[3])), sub(pdiv(x[2],x[2]),pdiv(x[0],x[2])))",False,,,b9b1c94d6fbdef248bce6fb5dd4414ea,0.54375,False,0.0
6,0,"greater_than_or_equal(pdiv(mul(x[2],x[2]),pdiv(x[2],x[3])), mul(pdiv(x[2],x[2]),add(x[2],x[2])))",True,not_(x[4]),0.48750000000000004,ff4b30bb63db3a2d4bfb57f8820486e0,,,
6,0,"not_(greater_than_or_equal(pdiv(x[5],x[2]), pdiv(x[3],x[0])))",False,,,c3efb6d7b0e2e8d1321bb84de4672774,0.25625,False,0.0
6,0,"greater_than_or_equal(add(sub(x[3],x[2]),mul(x[2],x[3])), pdiv(sub(x[2],x[3]),mul(x[2],x[5])))",False,,,905ee15976d8d15bf7dc6d33032aaf3a,0.5375,False,0.0
